index,model_name,embed_type,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
0,cnn,glove,100,150,0.0,0.96386,0.03614,0.0,0.96386,0.03614
1,cnn,glove,100,200,0.0,0.99436,0.00564,0.0,0.99436,0.00564
2,cnn,glove,100,250,0.0,0.9637,0.0363,0.0,0.9637,0.0363
3,cnn,glove,100,300,0.0,0.9897,0.0103,0.0,0.9897,0.0103
4,cnn,glove,200,150,0.0,0.99856,0.00144,0.0,0.99856,0.00144
5,cnn,glove,250,150,4e-05,0.9999,6e-05,4e-05,0.9999,6e-05
6,cnn,glove,250,200,0.00114,0.99886,0.0,0.00114,0.99886,0.0
7,cnn,glove,300,150,0.0,0.99912,0.00088,0.0,0.99912,0.00088
8,cnn,glove,300,200,4e-05,0.99682,0.00314,4e-05,0.99682,0.00314
9,cnn,glove,300,250,0.0,1.0,0.0,0.0,1.0,0.0
0,cnn,numberbatch,150,100,0.0,0.99978,0.00022,0.0,0.99978,0.00022
1,cnn,numberbatch,150,300,0.0,1.0,0.0,0.0,1.0,0.0
2,cnn,numberbatch,200,100,2e-05,0.99998,0.0,2e-05,0.99998,0.0
3,cnn,numberbatch,200,150,2e-05,0.99998,0.0,2e-05,0.99998,0.0
4,cnn,numberbatch,200,250,0.05722,0.94278,0.0,0.05722,0.94278,0.0
5,cnn,numberbatch,200,300,0.00836,0.99164,0.0,0.00836,0.99164,0.0
6,cnn,numberbatch,250,100,0.0,0.99804,0.00196,0.0,0.99804,0.00196
7,cnn,numberbatch,250,150,0.0015,0.9985,0.0,0.0015,0.9985,0.0
8,cnn,numberbatch,250,300,0.00902,0.98698,0.004,0.00902,0.98698,0.004
9,cnn,numberbatch,300,100,0.0,0.99998,2e-05,0.0,0.99998,2e-05
0,cnn,fasttext,100,300,0.0,1.0,0.0,0.0,1.0,0.0
1,cnn,fasttext,150,100,2e-05,0.99998,0.0,2e-05,0.99998,0.0
2,cnn,fasttext,150,200,0.00224,0.9953,0.00246,0.00224,0.9953,0.00246
3,cnn,fasttext,150,250,2e-05,0.99998,0.0,2e-05,0.99998,0.0
4,cnn,fasttext,150,300,0.0,1.0,0.0,0.0,1.0,0.0
5,cnn,fasttext,200,100,0.0011,0.9989,0.0,0.0011,0.9989,0.0
6,cnn,fasttext,200,250,0.00152,0.9978,0.00068,0.00152,0.9978,0.00068
7,cnn,fasttext,200,300,2e-05,0.99974,0.00024,2e-05,0.99974,0.00024
8,cnn,fasttext,250,100,2e-05,0.99998,0.0,2e-05,0.99998,0.0
9,cnn,fasttext,250,300,0.0,1.0,0.0,0.0,1.0,0.0
0,cnn,word2vec,100,150,0.0,1.0,0.0,0.0,1.0,0.0
1,cnn,word2vec,100,200,0.0,1.0,0.0,0.0,1.0,0.0
2,cnn,word2vec,100,250,2e-05,0.95202,0.04796,2e-05,0.95202,0.04796
3,cnn,word2vec,100,300,0.00014,0.99986,0.0,0.00014,0.99986,0.0
4,cnn,word2vec,150,200,0.0,1.0,0.0,0.0,1.0,0.0
5,cnn,word2vec,150,250,0.0,0.98618,0.01382,0.0,0.98618,0.01382
6,cnn,word2vec,150,300,4e-05,0.99996,0.0,4e-05,0.99996,0.0
7,cnn,word2vec,200,250,0.0,0.99224,0.00776,0.0,0.99224,0.00776
8,cnn,word2vec,200,300,0.0,1.0,0.0,0.0,1.0,0.0
9,cnn,word2vec,300,250,0.0,0.98244,0.01756,0.0,0.98244,0.01756
0,cnn,deps,100,150,0.0001,0.9999,0.0,0.0001,0.9999,0.0
1,cnn,deps,100,200,0.0,0.98342,0.01658,0.0,0.98342,0.01658
2,cnn,deps,100,250,8e-05,0.9323,0.06762,8e-05,0.9323,0.06762
3,cnn,deps,100,300,0.00038,0.99962,0.0,0.00038,0.99962,0.0
4,cnn,deps,150,200,0.0,0.9585,0.0415,0.0,0.9585,0.0415
5,cnn,deps,150,250,2e-05,0.91436,0.08562,2e-05,0.91436,0.08562
6,cnn,deps,150,300,0.0034,0.9966,0.0,0.0034,0.9966,0.0
7,cnn,deps,200,250,0.0,1.0,0.0,0.0,1.0,0.0
8,cnn,deps,200,300,0.16264,0.83736,0.0,0.16264,0.83736,0.0
9,cnn,deps,300,250,0.0,0.8574,0.1426,0.0,0.8574,0.1426
0,text cnn,glove,100,200,0.0,0.94918,0.05082,0.0,0.94918,0.05082
1,text cnn,glove,100,250,0.0,0.85742,0.14258,0.0,0.85742,0.14258
2,text cnn,glove,100,300,0.0,0.8139,0.1861,0.0,0.8139,0.1861
3,text cnn,glove,150,100,6e-05,0.99994,0.0,6e-05,0.99994,0.0
4,text cnn,glove,150,200,0.0,0.99978,0.00022,0.0,0.99978,0.00022
5,text cnn,glove,150,250,0.0,0.99988,0.00012,0.0,0.99988,0.00012
6,text cnn,glove,150,300,0.0,0.99442,0.00558,0.0,0.99442,0.00558
7,text cnn,glove,200,250,0.00014,0.99612,0.00374,0.00014,0.99612,0.00374
8,text cnn,glove,200,300,0.0,0.99982,0.00018,0.0,0.99982,0.00018
9,text cnn,glove,300,250,0.00022,0.99978,0.0,0.00022,0.99978,0.0
0,text cnn,numberbatch,100,200,0.0,1.0,0.0,0.0,1.0,0.0
1,text cnn,numberbatch,100,250,0.0,0.97336,0.02664,0.0,0.97336,0.02664
2,text cnn,numberbatch,100,300,0.0,0.85786,0.14214,0.0,0.85786,0.14214
3,text cnn,numberbatch,150,100,0.0,1.0,0.0,0.0,1.0,0.0
4,text cnn,numberbatch,150,200,0.0,1.0,0.0,0.0,1.0,0.0
5,text cnn,numberbatch,150,250,0.0,1.0,0.0,0.0,1.0,0.0
6,text cnn,numberbatch,150,300,0.0,0.99978,0.00022,0.0,0.99978,0.00022
7,text cnn,numberbatch,250,200,0.0,1.0,0.0,0.0,1.0,0.0
8,text cnn,numberbatch,250,300,0.0,1.0,0.0,0.0,1.0,0.0
9,text cnn,numberbatch,300,200,0.00216,0.99784,0.0,0.00216,0.99784,0.0
0,text cnn,fasttext,150,100,0.00054,0.99946,0.0,0.00054,0.99946,0.0
1,text cnn,fasttext,150,200,0.0,0.99978,0.00022,0.0,0.99978,0.00022
2,text cnn,fasttext,200,100,0.0016,0.9984,0.0,0.0016,0.9984,0.0
3,text cnn,fasttext,250,100,0.01624,0.98372,4e-05,0.01624,0.98372,4e-05
4,text cnn,fasttext,250,150,0.01894,0.98056,0.0005,0.01894,0.98056,0.0005
5,text cnn,fasttext,250,200,0.00308,0.99686,6e-05,0.00308,0.99686,6e-05
6,text cnn,fasttext,300,100,0.0,1.0,0.0,0.0,1.0,0.0
7,text cnn,fasttext,300,150,0.0009,0.9991,0.0,0.0009,0.9991,0.0
8,text cnn,fasttext,300,200,0.00054,0.99946,0.0,0.00054,0.99946,0.0
9,text cnn,fasttext,300,250,0.00032,0.99956,0.00012,0.00032,0.99956,0.00012
0,text cnn,word2vec,100,150,0.0,0.99994,6e-05,0.0,0.99994,6e-05
1,text cnn,word2vec,200,100,0.0,1.0,0.0,0.0,1.0,0.0
2,text cnn,word2vec,200,150,0.0,1.0,0.0,0.0,1.0,0.0
3,text cnn,word2vec,200,250,0.0,1.0,0.0,0.0,1.0,0.0
4,text cnn,word2vec,200,300,0.0,0.99868,0.00132,0.0,0.99868,0.00132
5,text cnn,word2vec,250,100,0.5088,0.4912,0.0,0.5088,0.4912,0.0
6,text cnn,word2vec,250,150,2e-05,0.99998,0.0,2e-05,0.99998,0.0
7,text cnn,word2vec,250,300,0.0,1.0,0.0,0.0,1.0,0.0
8,text cnn,word2vec,300,100,0.8656,0.1344,0.0,0.8656,0.1344,0.0
9,text cnn,word2vec,300,150,0.053,0.947,0.0,0.053,0.947,0.0
0,text cnn,deps,150,100,4e-05,0.99996,0.0,4e-05,0.99996,0.0
1,text cnn,deps,150,200,0.0,0.9999,0.0001,0.0,0.9999,0.0001
2,text cnn,deps,200,100,0.02264,0.97736,0.0,0.02264,0.97736,0.0
3,text cnn,deps,250,100,0.08014,0.91986,0.0,0.08014,0.91986,0.0
4,text cnn,deps,250,150,0.00388,0.99612,0.0,0.00388,0.99612,0.0
5,text cnn,deps,250,200,0.00022,0.99978,0.0,0.00022,0.99978,0.0
6,text cnn,deps,250,300,0.0,0.99994,6e-05,0.0,0.99994,6e-05
7,text cnn,deps,300,100,0.25632,0.74368,0.0,0.25632,0.74368,0.0
8,text cnn,deps,300,150,0.00786,0.99214,0.0,0.00786,0.99214,0.0
9,text cnn,deps,300,200,0.0,1.0,0.0,0.0,1.0,0.0
0,dcnn,glove,150,100,0.0324,0.96758,2e-05,0.0324,0.96758,2e-05
1,dcnn,glove,150,200,0.0,0.97676,0.02324,0.0,0.97676,0.02324
2,dcnn,glove,150,300,0.0,0.7544,0.2456,0.0,0.7544,0.2456
3,dcnn,glove,200,100,0.0769,0.9231,0.0,0.0769,0.9231,0.0
4,dcnn,glove,200,300,0.0,0.9218,0.0782,0.0,0.9218,0.0782
5,dcnn,glove,250,100,0.49496,0.50504,0.0,0.49496,0.50504,0.0
6,dcnn,glove,250,150,0.18346,0.81654,0.0,0.18346,0.81654,0.0
7,dcnn,glove,250,200,0.0082,0.99152,0.00028,0.0082,0.99152,0.00028
8,dcnn,glove,250,300,0.00022,0.97414,0.02564,0.00022,0.97414,0.02564
9,dcnn,glove,300,100,0.75322,0.24678,0.0,0.75322,0.24678,0.0
0,dcnn,numberbatch,100,250,0.0,6e-05,0.99994,0.0,6e-05,0.99994
1,dcnn,numberbatch,150,100,0.0649,0.9351,0.0,0.0649,0.9351,0.0
2,dcnn,numberbatch,150,200,0.0,0.24546,0.75454,0.0,0.24546,0.75454
3,dcnn,numberbatch,150,250,0.0,0.00978,0.99022,0.0,0.00978,0.99022
4,dcnn,numberbatch,200,100,0.9914,0.0086,0.0,0.9914,0.0086,0.0
5,dcnn,numberbatch,200,250,0.0,0.93026,0.06974,0.0,0.93026,0.06974
6,dcnn,numberbatch,300,100,0.9999,0.0001,0.0,0.9999,0.0001,0.0
7,dcnn,numberbatch,300,150,0.99938,0.00062,0.0,0.99938,0.00062,0.0
8,dcnn,numberbatch,300,200,0.51724,0.48276,0.0,0.51724,0.48276,0.0
9,dcnn,numberbatch,300,250,0.0408,0.95774,0.00146,0.0408,0.95774,0.00146
0,dcnn,fasttext,150,100,0.06732,0.93268,0.0,0.06732,0.93268,0.0
1,dcnn,fasttext,150,250,0.0,0.95698,0.04302,0.0,0.95698,0.04302
2,dcnn,fasttext,150,300,6e-05,0.96862,0.03132,6e-05,0.96862,0.03132
3,dcnn,fasttext,200,100,0.24564,0.75424,0.00012,0.24564,0.75424,0.00012
4,dcnn,fasttext,200,150,0.00022,0.99978,0.0,0.00022,0.99978,0.0
5,dcnn,fasttext,200,250,0.0,0.99904,0.00096,0.0,0.99904,0.00096
6,dcnn,fasttext,200,300,0.0,0.99916,0.00084,0.0,0.99916,0.00084
7,dcnn,fasttext,250,100,0.4623,0.5377,0.0,0.4623,0.5377,0.0
8,dcnn,fasttext,300,100,0.30584,0.69416,0.0,0.30584,0.69416,0.0
9,dcnn,fasttext,300,250,8e-05,0.99992,0.0,8e-05,0.99992,0.0
0,dcnn,word2vec,150,100,0.70422,0.29578,0.0,0.70422,0.29578,0.0
1,dcnn,word2vec,150,300,0.0,0.23146,0.76854,0.0,0.23146,0.76854
2,dcnn,word2vec,200,100,0.96376,0.03624,0.0,0.96376,0.03624,0.0
3,dcnn,word2vec,200,150,0.11712,0.88286,2e-05,0.11712,0.88286,2e-05
4,dcnn,word2vec,200,300,0.0,0.78696,0.21304,0.0,0.78696,0.21304
5,dcnn,word2vec,250,100,0.9764,0.0236,0.0,0.9764,0.0236,0.0
6,dcnn,word2vec,250,150,0.01918,0.98082,0.0,0.01918,0.98082,0.0
7,dcnn,word2vec,250,200,0.00718,0.99042,0.0024,0.00718,0.99042,0.0024
8,dcnn,word2vec,250,300,0.00084,0.73534,0.26382,0.00084,0.73534,0.26382
9,dcnn,word2vec,300,100,0.9964,0.0036,0.0,0.9964,0.0036,0.0
0,dcnn,deps,100,200,0.0,0.12258,0.87742,0.0,0.12258,0.87742
1,dcnn,deps,100,250,0.0,0.00452,0.99548,0.0,0.00452,0.99548
2,dcnn,deps,150,100,0.8635,0.1365,0.0,0.8635,0.1365,0.0
3,dcnn,deps,150,200,0.00936,0.96612,0.02452,0.00936,0.96612,0.02452
4,dcnn,deps,150,250,4e-05,0.78948,0.21048,4e-05,0.78948,0.21048
5,dcnn,deps,150,300,0.0014,0.64818,0.35042,0.0014,0.64818,0.35042
6,dcnn,deps,200,250,4e-05,0.85228,0.14768,4e-05,0.85228,0.14768
7,dcnn,deps,300,100,0.9859,0.01406,4e-05,0.9859,0.01406,4e-05
8,dcnn,deps,300,200,0.101,0.89876,0.00024,0.101,0.89876,0.00024
9,dcnn,deps,300,250,0.00358,0.9929,0.00352,0.00358,0.9929,0.00352
0,rcnn,glove,150,100,0.00014,0.99986,0.0,0.00014,0.99986,0.0
1,rcnn,glove,200,100,0.00018,0.99982,0.0,0.00018,0.99982,0.0
2,rcnn,glove,200,150,0.0,1.0,0.0,0.0,1.0,0.0
3,rcnn,glove,200,250,0.00096,0.99904,0.0,0.00096,0.99904,0.0
4,rcnn,glove,200,300,0.00012,0.99986,2e-05,0.00012,0.99986,2e-05
5,rcnn,glove,250,100,0.00012,0.99988,0.0,0.00012,0.99988,0.0
6,rcnn,glove,250,150,4e-05,0.99984,0.00012,4e-05,0.99984,0.00012
7,rcnn,glove,300,100,0.01268,0.98732,0.0,0.01268,0.98732,0.0
8,rcnn,glove,300,150,0.00334,0.99586,0.0008,0.00334,0.99586,0.0008
9,rcnn,glove,300,250,0.0199,0.98008,2e-05,0.0199,0.98008,2e-05
0,rcnn,numberbatch,100,150,0.0,1.0,0.0,0.0,1.0,0.0
1,rcnn,numberbatch,100,200,0.0,1.0,0.0,0.0,1.0,0.0
2,rcnn,numberbatch,100,250,0.0,0.99644,0.00356,0.0,0.99644,0.00356
3,rcnn,numberbatch,100,300,2e-05,0.99998,0.0,2e-05,0.99998,0.0
4,rcnn,numberbatch,150,200,0.00016,0.99984,0.0,0.00016,0.99984,0.0
5,rcnn,numberbatch,150,250,0.0,0.99796,0.00204,0.0,0.99796,0.00204
6,rcnn,numberbatch,150,300,0.0,1.0,0.0,0.0,1.0,0.0
7,rcnn,numberbatch,200,250,0.0,0.9885,0.0115,0.0,0.9885,0.0115
8,rcnn,numberbatch,200,300,0.0,1.0,0.0,0.0,1.0,0.0
9,rcnn,numberbatch,250,300,0.00312,0.99688,0.0,0.00312,0.99688,0.0
0,rcnn,fasttext,100,150,0.0,0.99998,2e-05,0.0,0.99998,2e-05
1,rcnn,fasttext,100,200,0.00166,0.99832,2e-05,0.00166,0.99832,2e-05
2,rcnn,fasttext,100,250,0.00048,0.99934,0.00018,0.00048,0.99934,0.00018
3,rcnn,fasttext,150,250,4e-05,0.99996,0.0,4e-05,0.99996,0.0
4,rcnn,fasttext,200,150,0.0,0.99386,0.00614,0.0,0.99386,0.00614
5,rcnn,fasttext,200,250,0.0,0.99946,0.00054,0.0,0.99946,0.00054
6,rcnn,fasttext,300,100,0.00016,0.99864,0.0012,0.00016,0.99864,0.0012
7,rcnn,fasttext,300,150,2e-05,0.9999,8e-05,2e-05,0.9999,8e-05
8,rcnn,fasttext,300,200,0.00074,0.99922,4e-05,0.00074,0.99922,4e-05
9,rcnn,fasttext,300,250,0.0,1.0,0.0,0.0,1.0,0.0
0,rcnn,word2vec,100,250,0.03538,0.96462,0.0,0.03538,0.96462,0.0
