,precision,recall,f1-score,support
sd,0.7423948220064724,0.8709187547456341,0.8015373864430468,1317
b,0.759656652360515,0.9267015706806283,0.8349056603773586,764
sv,0.6977491961414791,0.6044568245125348,0.6477611940298508,718
%,0.7950819672131147,0.833810888252149,0.813986013986014,349
aa,0.7288135593220338,0.41545893719806765,0.5292307692307693,207
ba,0.7922077922077922,0.8026315789473685,0.7973856209150327,76
qy,0.6470588235294118,0.7857142857142857,0.7096774193548386,84
ny,0.0,0.0,0.0,73
fc,0.8275862068965517,0.5925925925925926,0.6906474820143885,81
qw,0.7037037037037037,0.6909090909090909,0.6972477064220184,55
nn,0.5306122448979592,1.0,0.6933333333333334,26
bk,0.5555555555555556,0.17857142857142858,0.2702702702702703,28
h,0.875,0.6086956521739131,0.717948717948718,23
qy^d,0.5555555555555556,0.1388888888888889,0.22222222222222227,36
bh,0.7222222222222222,0.6190476190476191,0.6666666666666666,21
^q,0.4,0.11764705882352941,0.1818181818181818,17
bf,0.0,0.0,0.0,23
"fo_o_fw_""_by_bc",0.19047619047619047,0.26666666666666666,0.2222222222222222,15
na,0.0,0.0,0.0,10
ad,0.5384615384615384,0.25925925925925924,0.35000000000000003,27
^2,0.0,0.0,0.0,19
b^m,0.16666666666666666,0.047619047619047616,0.07407407407407407,21
qo,0.6666666666666666,0.75,0.7058823529411765,16
qh,0.3333333333333333,0.4166666666666667,0.3703703703703704,12
^h,0.3333333333333333,0.14285714285714285,0.2,7
ar,0.0,0.0,0.0,3
ng,0.6666666666666666,0.3333333333333333,0.4444444444444444,6
br,1.0,0.4444444444444444,0.6153846153846153,9
no,0.0,0.0,0.0,6
fp,1.0,0.4,0.5714285714285715,5
qrr,1.0,0.5,0.6666666666666666,2
arp_nd,0.0,0.0,0.0,3
oo_co_cc,0.0,0.0,0.0,0
aap_am,0.0,0.0,0.0,7
t1,0.0,0.0,0.0,1
bd,1.0,1.0,1.0,1
qw^d,0.0,0.0,0.0,1
fa,1.0,1.0,1.0,2
ft,0.0,0.0,0.0,7
micro avg,0.7322216772927905,0.7322216772927905,0.7322216772927905,4078
macro avg,0.4674051973645324,0.37812542902318697,0.39731056314268853,4078
weighted avg,0.701344105930441,0.7322216772927905,0.7064230964749391,4078
