,precision,recall,f1-score,support
sd,0.7684659090909091,0.8215641609719059,0.7941284403669725,1317
b,0.7384615384615385,0.9424083769633508,0.8280621046578495,764
sv,0.6657183499288762,0.6518105849582173,0.6586910626319494,718
%,0.7637362637362637,0.7965616045845272,0.7798036465638148,349
aa,0.7364341085271318,0.45893719806763283,0.5654761904761905,207
ba,0.7530864197530864,0.8026315789473685,0.7770700636942676,76
qy,0.7272727272727273,0.7619047619047619,0.7441860465116279,84
ny,0.0,0.0,0.0,73
fc,0.7272727272727273,0.5925925925925926,0.6530612244897959,81
qw,0.6724137931034483,0.7090909090909091,0.6902654867256638,55
nn,0.5306122448979592,1.0,0.6933333333333334,26
bk,0.5555555555555556,0.17857142857142858,0.2702702702702703,28
h,0.8333333333333334,0.6521739130434783,0.7317073170731708,23
qy^d,0.4,0.16666666666666666,0.23529411764705882,36
bh,0.55,0.5238095238095238,0.5365853658536585,21
^q,0.4,0.11764705882352941,0.1818181818181818,17
bf,0.0,0.0,0.0,23
"fo_o_fw_""_by_bc",1.0,0.06666666666666667,0.125,15
na,0.0,0.0,0.0,10
ad,0.6363636363636364,0.25925925925925924,0.368421052631579,27
^2,0.0625,0.05263157894736842,0.05714285714285714,19
b^m,0.16666666666666666,0.047619047619047616,0.07407407407407407,21
qo,0.65,0.8125,0.7222222222222223,16
qh,0.25,0.25,0.25,12
^h,0.25,0.14285714285714285,0.18181818181818182,7
ar,0.0,0.0,0.0,3
ng,0.3333333333333333,0.16666666666666666,0.2222222222222222,6
br,0.6666666666666666,0.2222222222222222,0.3333333333333333,9
no,0.0,0.0,0.0,6
fp,1.0,0.6,0.7499999999999999,5
qrr,1.0,1.0,1.0,2
arp_nd,0.0,0.0,0.0,3
oo_co_cc,0.0,0.0,0.0,0
aap_am,0.0,0.0,0.0,7
t1,0.0,0.0,0.0,1
bd,1.0,1.0,1.0,1
qw^d,0.0,0.0,0.0,1
fa,0.6666666666666666,1.0,0.8,2
ft,0.0,0.0,0.0,7
micro avg,0.7253555664541442,0.7253555664541442,0.7253555664541442,4078
macro avg,0.4488348702725777,0.3794049472624171,0.3852304306553404,4078
weighted avg,0.6959450534678747,0.7253555664541442,0.7016458782815826,4078
