,precision,recall,f1-score,support
sd,0.7229813664596273,0.8838268792710706,0.7953536043730782,1317
b,0.7463617463617463,0.9397905759162304,0.831981460023175,764
sv,0.7225433526011561,0.5222841225626741,0.6063055780113177,718
%,0.7718832891246684,0.833810888252149,0.8016528925619835,349
aa,0.75,0.4057971014492754,0.5266457680250783,207
ba,0.7241379310344828,0.8289473684210527,0.7730061349693252,76
qy,0.6666666666666666,0.8095238095238095,0.7311827956989246,84
ny,0.0,0.0,0.0,73
fc,0.8,0.5925925925925926,0.6808510638297872,81
qw,0.6833333333333333,0.7454545454545455,0.7130434782608696,55
nn,0.5306122448979592,1.0,0.6933333333333334,26
bk,0.5555555555555556,0.17857142857142858,0.2702702702702703,28
h,0.8333333333333334,0.6521739130434783,0.7317073170731708,23
qy^d,0.5,0.1111111111111111,0.1818181818181818,36
bh,0.6666666666666666,0.5714285714285714,0.6153846153846153,21
^q,0.0,0.0,0.0,17
bf,0.25,0.043478260869565216,0.07407407407407408,23
"fo_o_fw_""_by_bc",0.6666666666666666,0.13333333333333333,0.2222222222222222,15
na,0.0,0.0,0.0,10
ad,0.5555555555555556,0.18518518518518517,0.2777777777777778,27
^2,0.2727272727272727,0.15789473684210525,0.19999999999999998,19
b^m,0.13043478260869565,0.14285714285714285,0.13636363636363635,21
qo,0.75,0.75,0.75,16
qh,0.5,0.25,0.3333333333333333,12
^h,1.0,0.14285714285714285,0.25,7
ar,0.0,0.0,0.0,3
ng,1.0,0.3333333333333333,0.5,6
br,0.6,0.3333333333333333,0.42857142857142855,9
no,0.0,0.0,0.0,6
fp,1.0,0.4,0.5714285714285715,5
qrr,0.0,0.0,0.0,2
arp_nd,0.0,0.0,0.0,3
aap_am,0.0,0.0,0.0,7
t1,0.0,0.0,0.0,1
bd,0.0,0.0,0.0,1
qw^d,0.0,0.0,0.0,1
fa,1.0,1.0,1.0,2
ft,0.0,0.0,0.0,7
micro avg,0.7241294752329573,0.7241294752329573,0.7241294752329572,4078
macro avg,0.45788052009456276,0.34072593095287185,0.36042914572116197,4078
weighted avg,0.6968654080966078,0.7241294752329573,0.6945379138292902,4078
