,precision,recall,f1-score,support
sd,0.7206060606060606,0.9028094153378892,0.8014829794405123,1317
b,0.7432712215320911,0.9397905759162304,0.8300578034682082,764
sv,0.7403846153846154,0.5362116991643454,0.6219709208400647,718
%,0.782608695652174,0.8252148997134671,0.8033472803347281,349
aa,0.77,0.3719806763285024,0.501628664495114,207
ba,0.7837837837837838,0.7631578947368421,0.7733333333333334,76
qy,0.6534653465346535,0.7857142857142857,0.7135135135135134,84
ny,0.35714285714285715,0.0684931506849315,0.11494252873563218,73
fc,0.8181818181818182,0.5555555555555556,0.661764705882353,81
qw,0.6875,0.8,0.7394957983193278,55
nn,0.5306122448979592,1.0,0.6933333333333334,26
bk,0.5555555555555556,0.17857142857142858,0.2702702702702703,28
h,0.8235294117647058,0.6086956521739131,0.7,23
qy^d,0.6666666666666666,0.1111111111111111,0.1904761904761905,36
bh,0.65,0.6190476190476191,0.6341463414634146,21
^q,0.0,0.0,0.0,17
bf,0.0,0.0,0.0,23
"fo_o_fw_""_by_bc",1.0,0.06666666666666667,0.125,15
na,0.0,0.0,0.0,10
ad,0.5384615384615384,0.25925925925925924,0.35000000000000003,27
^2,0.3333333333333333,0.05263157894736842,0.09090909090909091,19
b^m,0.2857142857142857,0.09523809523809523,0.14285714285714285,21
qo,0.75,0.75,0.75,16
qh,0.42857142857142855,0.25,0.3157894736842105,12
^h,0.5,0.14285714285714285,0.22222222222222224,7
ar,0.0,0.0,0.0,3
ng,0.75,0.5,0.6,6
br,1.0,0.4444444444444444,0.6153846153846153,9
no,0.0,0.0,0.0,6
fp,1.0,0.2,0.33333333333333337,5
qrr,0.3333333333333333,0.5,0.4,2
arp_nd,0.0,0.0,0.0,3
oo_co_cc,0.0,0.0,0.0,0
aap_am,0.0,0.0,0.0,7
t1,0.0,0.0,0.0,1
bd,0.0,0.0,0.0,1
qw^d,0.0,0.0,0.0,1
fa,1.0,1.0,1.0,2
ft,0.0,0.0,0.0,7
micro avg,0.7295242766061795,0.7295242766061795,0.7295242766061795,4078
macro avg,0.4667364665927401,0.3417295167043359,0.35885280877683623,4078
weighted avg,0.7099689223376423,0.7295242766061795,0.699054209148558,4078
