,precision,recall,f1-score,support
sd,0.7566826593557231,0.8382687927107062,0.7953890489913547,1317
b,0.7392670157068063,0.9240837696335078,0.8214077952297849,764
sv,0.6647058823529411,0.6295264623955432,0.6466380543633763,718
%,0.7743732590529248,0.7965616045845272,0.7853107344632767,349
aa,0.8181818181818182,0.391304347826087,0.5294117647058824,207
ba,0.7142857142857143,0.7894736842105263,0.7500000000000001,76
qy,0.6111111111111112,0.7857142857142857,0.6875000000000001,84
ny,0.0,0.0,0.0,73
fc,0.7678571428571429,0.5308641975308642,0.6277372262773723,81
qw,0.6956521739130435,0.5818181818181818,0.6336633663366337,55
nn,0.5306122448979592,1.0,0.6933333333333334,26
bk,0.3269230769230769,0.6071428571428571,0.425,28
h,0.7894736842105263,0.6521739130434783,0.7142857142857143,23
qy^d,0.5555555555555556,0.1388888888888889,0.22222222222222227,36
bh,0.4782608695652174,0.5238095238095238,0.5,21
^q,0.5,0.11764705882352941,0.19047619047619047,17
bf,0.0,0.0,0.0,23
"fo_o_fw_""_by_bc",1.0,0.13333333333333333,0.23529411764705882,15
na,0.0,0.0,0.0,10
ad,0.6363636363636364,0.25925925925925924,0.368421052631579,27
^2,0.1,0.05263157894736842,0.06896551724137931,19
b^m,0.0,0.0,0.0,21
qo,0.5909090909090909,0.8125,0.6842105263157896,16
qh,0.4444444444444444,0.3333333333333333,0.380952380952381,12
^h,0.5,0.14285714285714285,0.22222222222222224,7
ar,0.0,0.0,0.0,3
ng,0.4,0.3333333333333333,0.3636363636363636,6
br,0.75,0.3333333333333333,0.46153846153846156,9
no,0.0,0.0,0.0,6
fp,1.0,0.8,0.888888888888889,5
qrr,0.5,1.0,0.6666666666666666,2
arp_nd,0.0,0.0,0.0,3
aap_am,0.0,0.0,0.0,7
t1,0.0,0.0,0.0,1
bd,0.0,0.0,0.0,1
qw^d,0.0,0.0,0.0,1
fa,1.0,1.0,1.0,2
ft,0.0,0.0,0.0,7
micro avg,0.7206964198136341,0.7206964198136341,0.7206964198136341,4078
macro avg,0.4380173520970192,0.3817857600665687,0.37797820127436665,4078
weighted avg,0.6948202476503926,0.7206964198136341,0.6958183401709205,4078
