,precision,recall,f1-score,support
sd,0.7432432432432432,0.876993166287016,0.8045977011494253,1317
b,0.7505175983436853,0.9489528795811518,0.838150289017341,764
sv,0.7030716723549488,0.5738161559888579,0.6319018404907976,718
%,0.8064516129032258,0.7879656160458453,0.7971014492753623,349
aa,0.6363636363636364,0.47342995169082125,0.5429362880886426,207
ba,0.7469879518072289,0.8157894736842105,0.7798742138364778,76
qy,0.75,0.75,0.75,84
ny,0.5,0.0136986301369863,0.02666666666666666,73
fc,0.8,0.6419753086419753,0.7123287671232877,81
qw,0.7192982456140351,0.7454545454545455,0.7321428571428571,55
nn,0.59375,0.7307692307692307,0.6551724137931033,26
bk,0.5555555555555556,0.17857142857142858,0.2702702702702703,28
h,0.8333333333333334,0.6521739130434783,0.7317073170731708,23
qy^d,0.4375,0.19444444444444445,0.2692307692307693,36
bh,0.7272727272727273,0.7619047619047619,0.7441860465116279,21
^q,0.5,0.058823529411764705,0.10526315789473684,17
bf,0.0,0.0,0.0,23
"fo_o_fw_""_by_bc",0.0,0.0,0.0,15
na,0.0,0.0,0.0,10
ad,0.8571428571428571,0.2222222222222222,0.35294117647058826,27
^2,0.3,0.15789473684210525,0.20689655172413793,19
b^m,0.14814814814814814,0.19047619047619047,0.16666666666666666,21
qo,0.7058823529411765,0.75,0.7272727272727272,16
qh,0.5,0.3333333333333333,0.4,12
^h,0.3333333333333333,0.14285714285714285,0.2,7
ar,0.0,0.0,0.0,3
ng,0.6666666666666666,0.3333333333333333,0.4444444444444444,6
br,1.0,0.4444444444444444,0.6153846153846153,9
no,0.0,0.0,0.0,6
fp,1.0,0.2,0.33333333333333337,5
qrr,1.0,1.0,1.0,2
arp_nd,0.0,0.0,0.0,3
oo_co_cc,0.0,0.0,0.0,0
aap_am,0.0,0.0,0.0,7
t1,0.0,0.0,0.0,1
bd,1.0,1.0,1.0,1
qw^d,0.0,0.0,0.0,1
fa,1.0,1.0,1.0,2
ft,0.0,0.0,0.0,7
micro avg,0.7329573320255027,0.7329573320255027,0.7329573320255026,4078
macro avg,0.4952440752570206,0.3840852420298792,0.4061146041759244,4078
weighted avg,0.7099380822566723,0.7329573320255027,0.7073754139413252,4078
