,precision,recall,f1-score,support
sd,0.7723636363636364,0.806378132118451,0.7890044576523032,1317
b,0.7349643221202854,0.943717277486911,0.8263610315186247,764
sv,0.6394293125810635,0.6866295264623955,0.6621893888515783,718
%,0.78,0.7822349570200573,0.7811158798283262,349
aa,0.7244094488188977,0.4444444444444444,0.5508982035928144,207
ba,0.7380952380952381,0.8157894736842105,0.775,76
qy,0.7078651685393258,0.75,0.7283236994219654,84
ny,0.0,0.0,0.0,73
fc,0.7777777777777778,0.6049382716049383,0.6805555555555557,81
qw,0.7058823529411765,0.6545454545454545,0.679245283018868,55
nn,0.5306122448979592,1.0,0.6933333333333334,26
bk,0.5555555555555556,0.17857142857142858,0.2702702702702703,28
h,0.8333333333333334,0.6521739130434783,0.7317073170731708,23
qy^d,0.625,0.1388888888888889,0.2272727272727273,36
bh,0.5294117647058824,0.42857142857142855,0.4736842105263158,21
^q,0.5,0.17647058823529413,0.2608695652173913,17
bf,1.0,0.043478260869565216,0.08333333333333333,23
"fo_o_fw_""_by_bc",1.0,0.06666666666666667,0.125,15
na,0.0,0.0,0.0,10
ad,0.4666666666666667,0.25925925925925924,0.33333333333333337,27
^2,0.09090909090909091,0.05263157894736842,0.06666666666666667,19
b^m,1.0,0.047619047619047616,0.0909090909090909,21
qo,0.6666666666666666,0.75,0.7058823529411765,16
qh,0.3333333333333333,0.25,0.28571428571428575,12
^h,0.3333333333333333,0.14285714285714285,0.2,7
ar,0.0,0.0,0.0,3
ng,0.4,0.3333333333333333,0.3636363636363636,6
br,0.75,0.3333333333333333,0.46153846153846156,9
no,0.0,0.0,0.0,6
fp,1.0,0.4,0.5714285714285715,5
qrr,0.5,1.0,0.6666666666666666,2
arp_nd,0.0,0.0,0.0,3
oo_co_cc,0.0,0.0,0.0,0
aap_am,0.0,0.0,0.0,7
t1,0.0,0.0,0.0,1
bd,0.0,0.0,0.0,1
qw^d,0.0,0.0,0.0,1
fa,0.6666666666666666,1.0,0.8,2
ft,0.0,0.0,0.0,7
micro avg,0.7238842569887199,0.7238842569887199,0.7238842569887199,4078
macro avg,0.47082758752066384,0.35237262583495127,0.35599846280259473,4078
weighted avg,0.7049594136593496,0.7238842569887199,0.6999319414192511,4078
